miRNA,Target Gene,Attention_Weight
hsa-miR-122-5p,SLC7A1,0.61547345
hsa-miR-122-5p,ADAM17,0.475676
hsa-miR-122-5p,NUMBL,0.24675348
hsa-miR-122-5p,FOXJ3,0.24049084
hsa-miR-122-5p,XPO6,0.34828573
hsa-miR-122-5p,AP3M2,0.21387856
hsa-miR-122-5p,G6PC3,0.27002
hsa-miR-122-5p,GALNT10,0.60345215
hsa-miR-122-5p,DSTYK,0.29044294
hsa-miR-122-5p,TPD52L2,0.6724817
hsa-miR-122-5p,AKT3,0.51800936
hsa-miR-122-5p,FUNDC2,0.34529543
hsa-miR-122-5p,MAPK11,0.116441384
hsa-miR-122-5p,FAM117B,0.16932987
hsa-miR-122-5p,ATP1A2,0.030794445
hsa-miR-122-5p,DUSP2,0.04288722
hsa-miR-122-5p,AACS,0.23217186
hsa-miR-122-5p,TBX19,0.05445667
hsa-miR-122-5p,UBAP2,0.4473657
hsa-miR-122-5p,EGLN3,0.04972648
hsa-miR-122-5p,NCAM1,0.028526306
hsa-miR-122-5p,MECP2,0.2441548
hsa-miR-122-5p,FOXP1,0.46486995
hsa-miR-122-5p,RAB11FIP1,0.21602477
hsa-miR-122-5p,RAB6B,0.059272196
hsa-miR-122-5p,TRIB1,0.5327662
hsa-miR-122-5p,ALDOA,0.97264117
hsa-miR-122-5p,ANXA11,0.67070526
hsa-miR-122-5p,ENTPD4,0.25440314
hsa-miR-122-5p,NFATC2IP,0.29979548
hsa-miR-122-5p,ANK2,0.19630037
hsa-miR-122-5p,SLC7A11,0.76822865
hsa-miR-122-5p,GYS1,0.111224346
hsa-miR-15a-5p,BRCA1,0.013647506
hsa-miR-16-5p,BRCA1,0.0011222883
hsa-miR-128-3p,E2F3,0.038036086
hsa-miR-144-3p,PLAG1,0.03199524
hsa-miR-29a-3p,S100B,2.5089104e-09
hsa-miR-29b-3p,S100B,4.5702027e-12
hsa-miR-21-5p,PDCD4,3.8328697e-05
hsa-miR-124-3p,RDH10,0.3737911
hsa-let-7i-5p,TLR4,0.016343456
